"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"72","Penalized robust IVW",-0.0136558547112671,0.0045027017423931,-0.0224809879594833,-0.00483072146305084,0.00242285273070783,"Steiger Filtered",88
"73","Penalized robust IVW",-0.0194498141211334,0.00535934585678096,-0.029953938981118,-0.00894568926114875,0.000284367470417194,"PheWAS T-test Filtered",72
"74","Penalized robust IVW",-0.0158781238126865,0.00504866213711266,-0.0257733197715384,-0.00598292785383472,0.00166077677822211,"PheWAS T-test Filtered - Sensitivity",74
"75","Penalized robust IVW",-0.0218620715531968,0.00571778701027495,-0.0330687281646066,-0.0106554149417869,0.00013156004895511,"PheWAS PVE Filtered",67
"76","Penalized robust IVW",-0.0225593067276069,0.0058479131653801,-0.0340210059164695,-0.0110976075387443,0.000114474055060795,"PheWAS PVE Filtered - Sensitivity",65
"77","Penalized robust IVW",-0.0290869109223965,0.00691745634066417,-0.0426448762147265,-0.0155289456300665,2.6124791199226e-05,"Core GI",52
"8","MR-Egger",-0.023635905121786,0.0243919881885951,-0.0714433234827587,0.0241715132391867,0.332543786639165,"all",88
"81","MR-Egger",-0.023635905121786,0.0243919881885951,-0.0714433234827587,0.0241715132391867,0.332543786639165,"Steiger Filtered",88
"82","MR-Egger",-0.0668759337702909,0.0314691716095771,-0.128554376748372,-0.00519749079220946,0.0335761563252166,"PheWAS T-test Filtered",72
"83","MR-Egger",-0.0291006002909066,0.0268699022394475,-0.0817646409483358,0.0235634403665226,0.278800226951728,"PheWAS T-test Filtered - Sensitivity",74
"84","MR-Egger",-0.0382416402944178,0.0316628903047052,-0.100299764938082,0.0238164843492468,0.22713390578187,"PheWAS PVE Filtered",67
"85","MR-Egger",-0.0385801861711176,0.0331479218929406,-0.103548919243628,0.0263885469013928,0.244472855582172,"PheWAS PVE Filtered - Sensitivity",65
"86","MR-Egger",-0.0699173743495525,0.0398894959750944,-0.148099349822193,0.00826460112308784,0.0796403646371637,"Core GI",52
"9","(intercept)",3.18043197011694e-05,0.000391699744531137,-0.000735913072333399,0.000799521711735738,0.9352863500831,"all",88
