"","test","model","robust","penalized","estimate","std_error","cilower","ciupper","pvalue","heter_Q","heter_pvalue","fstat"
"1","mr_ivw_randomeffects","random",FALSE,FALSE,0.0262462630808151,0.0718947411265701,-0.114664840205093,0.167157366366723,0.715062788751259,220.567152481997,8.89078492818761e-16,45.2572209173817
"2","mr_stg_ivw_randomeffects","random",FALSE,FALSE,0.0262462630808151,0.0718947411265701,-0.114664840205093,0.167157366366723,0.715062788751259,220.567152481997,8.89078492818761e-16,45.2572209173817
"3","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,-0.062017159319,0.0830225458897823,-0.224738359167797,0.100704040529797,0.455068522790325,171.395178806843,6.76318015063452e-13,43.3784747029199
"4","mr_pve_ivw_randomeffects","random",FALSE,FALSE,0.109006816529208,0.105565775943361,-0.0978983023198053,0.31591193537822,0.30179291858841,180.977173582873,2.60451167936624e-17,44.2064943910023
"5","mr_core_ivw_randomeffects","random",FALSE,FALSE,-0.0184974357143925,0.149032353592843,-0.310595481287604,0.273600609858819,0.901222706805566,136.994237459549,1.28359166425922e-15,39.9601121218883
