"","test","model","robust","penalized","estimate","std_error","cilower","ciupper","pvalue","heter_Q","heter_pvalue","fstat","exposure","outcome"
"27","mr_stg_ivw_randomeffects","random",FALSE,FALSE,-0.105228974037387,0.0686102281764514,-0.239702550234307,0.0292446021595334,0.12509821097431,348.231410103279,5.65729136183373e-57,34.7712792929731,"White vs Whole Grain Bread","Height"
"28","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,-0.156157058352294,0.0869358823752132,-0.326548256771922,0.0142341400673345,0.0724575460891907,433.792455174123,3.60895788791567e-76,33.4227541767864,"White vs Whole Grain Bread","Height"
"29","mr_pve_ivw_randomeffects","random",FALSE,FALSE,-0.207814950389764,0.218569589411055,-0.63620347375114,0.220573572971611,0.341708270940976,2710.18038525714,0,36.0226274874926,"White vs Whole Grain Bread","Height"
"30","mr_core_ivw_randomeffects","random",FALSE,FALSE,-0.119299926990931,0.10728709918089,-0.329578777391251,0.0909789234093897,0.266151484928418,258.831115756877,1.8772090940075e-46,35.056903148474,"White vs Whole Grain Bread","Height"
"31","mr_ivw_randomeffects","random",FALSE,FALSE,-0.0217382964740558,0.00694386348242367,-0.0353480188131691,-0.00812857413494254,0.00174463498410636,487.508100537996,5.05849573705427e-57,45.8890910785873,"Alcohol","Alanine Aminotransferase"
"32","mr_stg_ivw_randomeffects","random",FALSE,FALSE,-0.0217382964740558,0.00694386348242367,-0.0353480188131691,-0.00812857413494254,0.00174463498410636,487.508100537996,5.05849573705427e-57,45.8890910785873,"Alcohol","Alanine Aminotransferase"
"33","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,-0.0252380482016883,0.00730371365651058,-0.0395530639218423,-0.0109230324815342,0.000549254874468521,311.967643989001,6.09890230093493e-32,39.7503838078127,"Alcohol","Alanine Aminotransferase"
"34","mr_pve_ivw_randomeffects","random",FALSE,FALSE,-0.0291463003457961,0.00857770859567289,-0.0459583002631947,-0.0123343004283976,0.000679022185320032,427.151758801679,2.7589951677399e-54,45.6254593125219,"Alcohol","Alanine Aminotransferase"
"35","mr_core_ivw_randomeffects","random",FALSE,FALSE,-0.0325798872300986,0.00922183247118704,-0.0506543467450872,-0.01450542771511,0.000411015219434004,262.734665502654,2.81877976248573e-30,40.4888489512766,"Alcohol","Alanine Aminotransferase"
"36","mr_ivw_randomeffects","random",FALSE,FALSE,0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669,125.367467630855,0.000134886670286035,42.6834878049037,"Alcohol","Liver Cirrhosis"
"37","mr_stg_ivw_randomeffects","random",FALSE,FALSE,0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669,125.367467630855,0.000134886670286035,42.6834878049037,"Alcohol","Liver Cirrhosis"
"38","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,0.136469658411611,0.145735211754903,-0.149166107907317,0.422105424730539,0.349055955340173,83.1125456577154,0.0314533274651582,37.4549070042237,"Alcohol","Liver Cirrhosis"
"39","mr_pve_ivw_randomeffects","random",FALSE,FALSE,0.226967775557964,0.165986074474571,-0.0983589523473773,0.552294503463306,0.171502949419753,98.4447370347448,0.000398077603280825,41.872490032957,"Alcohol","Liver Cirrhosis"
"40","mr_core_ivw_randomeffects","random",FALSE,FALSE,0.178077580056436,0.17883625689092,-0.172435042579722,0.528590202692593,0.319367886839911,69.4250938611359,0.0111767757467367,38.5888004534375,"Alcohol","Liver Cirrhosis"
"41","mr_ivw_randomeffects","random",FALSE,FALSE,0.0734545717988327,0.066992077216539,-0.0578474867951101,0.204756630392775,0.27287465394344,1610.31134392939,3.23308806556137e-294,41.6701668959145,"Alcohol","Height"
"42","mr_stg_ivw_randomeffects","random",FALSE,FALSE,0.0726342625380431,0.0529084228991065,-0.0310643408230199,0.176332865899106,0.169805247149117,940.661115692709,3.2736132583487e-157,41.6248400402652,"Alcohol","Height"
"43","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,0.041778435967976,0.0548125728093794,-0.065652232638387,0.149209104574339,0.445937456520554,531.652774159745,2.95671139763791e-82,34.6846851689752,"Alcohol","Height"
"44","mr_pve_ivw_randomeffects","random",FALSE,FALSE,0.114568285528475,0.0849479426924684,-0.0519266227095352,0.281063193766486,0.177437146319218,1470.48435830853,9.18846169078008e-276,40.3008840545153,"Alcohol","Height"
"45","mr_core_ivw_randomeffects","random",FALSE,FALSE,0.0242164236183256,0.0715770350895962,-0.116071987277443,0.164504834514094,0.735116988909272,470.864158227001,9.72046937614265e-78,35.1512323672406,"Alcohol","Height"
