"","test","model","robust","penalized","estimate","std_error","cilower","ciupper","pvalue","heter_Q","heter_pvalue","fstat"
"1","mr_ivw_randomeffects","random",FALSE,FALSE,0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669,125.367467630855,0.000134886670286035,42.6834878049037
"2","mr_stg_ivw_randomeffects","random",FALSE,FALSE,0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669,125.367467630855,0.000134886670286035,42.6834878049037
"3","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,0.136469658411611,0.145735211754903,-0.149166107907317,0.422105424730539,0.349055955340173,83.1125456577154,0.0314533274651582,37.4549070042237
"4","mr_ttest_sensitivity_ivw_randomeffects","random",FALSE,FALSE,0.264335066658962,0.14649159408059,-0.0227831817768548,0.551453315094778,0.0711625981462253,97.6768779349814,0.00334211133203073,40.4922484386212
"5","mr_pve_ivw_randomeffects","random",FALSE,FALSE,0.226967775557964,0.165986074474571,-0.0983589523473773,0.552294503463306,0.171502949419753,98.4447370347448,0.000398077603280825,41.872490032957
"6","mr_pve_sensitivity_ivw_randomeffects","random",FALSE,FALSE,0.243587211747556,0.168338772875005,-0.0863507202891232,0.573525143784234,0.147895247507394,97.5422749030309,0.00036059086882657,41.8242681848079
"7","mr_core_ivw_randomeffects","random",FALSE,FALSE,0.178077580056436,0.17883625689092,-0.172435042579722,0.528590202692593,0.319367886839911,69.4250938611359,0.0111767757467367,38.5888004534375
