"","test","model","robust","penalized","estimate","std_error","cilower","ciupper","pvalue","heter_Q","heter_pvalue","fstat"
"1","mr_ivw_randomeffects","random",FALSE,FALSE,-0.184580466962259,0.164730322338251,-0.507445965906905,0.138285031982386,0.262500388612495,2769.29627325082,0,34.7478690602958
"2","mr_stg_ivw_randomeffects","random",FALSE,FALSE,-0.105228974037387,0.0686102281764514,-0.239702550234307,0.0292446021595334,0.12509821097431,348.231410103279,5.65729136183373e-57,34.7712792929731
"3","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,-0.156157058352294,0.0869358823752132,-0.326548256771922,0.0142341400673345,0.0724575460891907,433.792455174123,3.60895788791567e-76,33.4227541767864
"4","mr_ttest_sensitivity_ivw_randomeffects","random",FALSE,FALSE,-0.156157058352294,0.0869358823752132,-0.326548256771922,0.0142341400673345,0.0724575460891907,433.792455174123,3.60895788791567e-76,33.4227541767864
"5","mr_pve_ivw_randomeffects","random",FALSE,FALSE,-0.207814950389764,0.218569589411055,-0.63620347375114,0.220573572971611,0.341708270940976,2710.18038525714,0,36.0226274874926
"6","mr_pve_sensitivity_ivw_randomeffects","random",FALSE,FALSE,-0.207814950389764,0.218569589411055,-0.63620347375114,0.220573572971611,0.341708270940976,2710.18038525714,0,36.0226274874926
"7","mr_core_ivw_randomeffects","random",FALSE,FALSE,-0.119299926990931,0.10728709918089,-0.329578777391251,0.0909789234093897,0.266151484928418,258.831115756877,1.8772090940075e-46,35.056903148474
