"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"102","Penalized MR-Egger",-0.185905932869978,0.118921810413042,-0.418988398255842,0.0471765325158854,0.117991010687724,"PheWAS T-test Filtered",49
"103","Penalized MR-Egger",-0.903147216794033,0.117680109709668,-1.1337959935217,-0.672498440066362,1.66533453693773e-14,"PheWAS PVE Filtered",40
"104","Penalized MR-Egger",-0.290176073008057,0.189418013810999,-0.661428558100725,0.0810764120846115,0.125538491135176,"Core GI",28
"11","(intercept)",0.00819716209792851,0.00169754172578402,0.00487004145313786,0.0115242827427192,1.3732878056949e-06,"all",60
"111","(intercept)",0.00212077577342655,0.00172723181671374,-0.00126453638028407,0.00550608792713717,0.219504545585895,"Steiger Filtered",57
"112","(intercept)",0.0028057962791205,0.00178970157791808,-0.00070195435667343,0.00631354691491443,0.116940579677072,"PheWAS T-test Filtered",49
"113","(intercept)",0.0109766792354369,0.00177029472196981,0.00750696533835472,0.0144463931325191,5.62907720436101e-10,"PheWAS PVE Filtered",40
"114","(intercept)",0.00341255717518784,0.00279844572856653,-0.00207229566549252,0.0088974100158682,0.222674454714541,"Core GI",28
"12","Robust MR-Egger",-0.182247175571815,0.268934453302938,-0.709349018247542,0.344854667103912,0.497984808412635,"all",60
"121","Robust MR-Egger",-0.160668621850292,0.272357333063818,-0.694479185580756,0.373141941880173,0.555245309120201,"Steiger Filtered",57
"122","Robust MR-Egger",-0.0922678065898304,0.215366659835258,-0.514378703337624,0.329843090157964,0.668343939265063,"PheWAS T-test Filtered",49
"123","Robust MR-Egger",-0.453483738300306,0.431725447273442,-1.2996500661657,0.392682589565087,0.293534960487143,"PheWAS PVE Filtered",40
"124","Robust MR-Egger",-0.24495638921753,0.345817041569335,-0.922745335933617,0.432832557498556,0.478733521550874,"Core GI",28
"13","(intercept)",0.00206579173370692,0.00410044825659061,-0.00597093916968073,0.0101025226370946,0.614404343998779,"all",60
"131","(intercept)",0.00187108678495765,0.00416800814445686,-0.00629805906544741,0.0100402326353627,0.653492038789818,"Steiger Filtered",57
"132","(intercept)",0.00183131695658084,0.00346262832410029,-0.00495530985050402,0.00861794376366569,0.596888278401982,"PheWAS T-test Filtered",49
"133","(intercept)",0.00445529806255191,0.0063968381071268,-0.00808227424234999,0.0169928703674538,0.486125512565058,"PheWAS PVE Filtered",40
"134","(intercept)",0.00334327573604596,0.00553799733174448,-0.00751099958065213,0.0141975510527441,0.546044705488973,"Core GI",28
"14","Penalized robust MR-Egger",-0.754197532359988,0.331366868006713,-1.40366465932298,-0.104730405396993,0.0228448282343319,"all",60
"141","Penalized robust MR-Egger",-0.614063472485732,0.310296880694873,-1.2222341831628,-0.00589276180865872,0.0478211060314391,"Steiger Filtered",57
"142","Penalized robust MR-Egger",-0.231760221444807,0.265625819434729,-0.752377260900815,0.288856818011202,0.382932190607292,"PheWAS T-test Filtered",49
"143","Penalized robust MR-Egger",-1.32394079196563,1.16822798664798,-3.6136255715274,0.965743987596145,0.25709259868903,"PheWAS PVE Filtered",40
"144","Penalized robust MR-Egger",-0.34882300454383,0.700529078255696,-1.72183476804803,1.02418875896037,0.618524767920028,"Core GI",28
"15","(intercept)",0.00971785795338795,0.00426126774196441,0.00136592665065539,0.0180697892561205,0.0225775382460607,"all",60
"151","(intercept)",0.00788521074378579,0.00427395475276829,-0.000491586643193849,0.0162620081307654,0.0650455638050942,"Steiger Filtered",57
"152","(intercept)",0.00345893216661914,0.00374386179471076,-0.00387890211410944,0.0107967664473477,0.355541407472418,"PheWAS T-test Filtered",49
"153","(intercept)",0.0159648845575725,0.00936318778175988,-0.00238662627516234,0.0343163953903073,0.0881814901028144,"PheWAS PVE Filtered",40
"154","(intercept)",0.00146535251651727,0.01241495162077,-0.0228675055299992,0.0257982105630337,0.906042880555482,"Core GI",28
