"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"101","Penalized MR-Egger",-0.0359474527952892,0.015305182542779,-0.0659450593559472,-0.00594984623463127,0.0188385149164718,"Steiger Filtered",88
"102","Penalized MR-Egger",-0.0769912130137269,0.0197936635606161,-0.115786080714637,-0.0381963453128165,0.00010037240360794,"PheWAS T-test Filtered",72
"103","Penalized MR-Egger",-0.030774817203272,0.0179921357347471,-0.0660387552483325,0.0044891208417885,0.0871809599936098,"PheWAS PVE Filtered",67
"104","Penalized MR-Egger",-0.079394849866985,0.0240623517766538,-0.12655619273256,-0.0322335070014103,0.000968411640788425,"Core GI",52
"11","(intercept)",0.000270179546511075,0.000237526866197444,-0.000195364556596579,0.00073572364961873,0.255342101622002,"all",88
"111","(intercept)",0.000270179546511075,0.000237526866197444,-0.000195364556596579,0.00073572364961873,0.255342101622002,"Steiger Filtered",88
"112","(intercept)",0.000815245348574445,0.000296374207873314,0.000234362575196161,0.00139612812195273,0.00594626785717245,"PheWAS T-test Filtered",72
"113","(intercept)",0.000117637393542092,0.000282700864873957,-0.000436446120009187,0.000671720907093372,0.677322429520883,"PheWAS PVE Filtered",67
"114","(intercept)",0.000707407224435714,0.000361460448940432,-1.0422373232106e-06,0.00141585668619464,0.0503379954627856,"Core GI",52
"12","Robust MR-Egger",-0.0312181258055178,0.0264330703704834,-0.0830259917324781,0.0205897401214426,0.237592658705997,"all",88
"121","Robust MR-Egger",-0.0312181206800389,0.0264330591466777,-0.0830259646087442,0.0205897232486665,0.237592536523776,"Steiger Filtered",88
"122","Robust MR-Egger",-0.0801674374050594,0.0287715128065013,-0.136558566286535,-0.023776308523584,0.00533056668640142,"PheWAS T-test Filtered",72
"123","Robust MR-Egger",-0.0461013290284116,0.0249717900946437,-0.0950451382434073,0.00284248018658401,0.064872412291813,"PheWAS PVE Filtered",67
"124","Robust MR-Egger",-0.0889551224395451,0.0291442222527462,-0.146076748412358,-0.0318334964667317,0.00227141410704501,"Core GI",52
"13","(intercept)",0.00016744882209641,0.000373002329505482,-0.000563622309883877,0.000898519954076696,0.653488175907345,"all",88
"131","(intercept)",0.000167448652668001,0.000373002207825857,-0.000563622240824603,0.000898519546160605,0.653488397943191,"Steiger Filtered",88
"132","(intercept)",0.000796659791400584,0.000408305253066529,-3.60379930832463e-06,0.00159692338210949,0.0510406620403534,"PheWAS T-test Filtered",72
"133","(intercept)",0.000266342499808227,0.000368814080403179,-0.000456519814773264,0.000989204814389718,0.47019657362107,"PheWAS PVE Filtered",67
